postcode,name,longitude,latitude
"BH19","",50.611,-1.97
"BH2","Bournemouth, Bournemouth",50.721,-1.881
"BH20","Arne, Dorset",50.686,-2.146
"BH21","Boveridge, Dorset",50.812,-1.973
"BH22","Dudsbury, Dorset",50.805,-1.887
"BH23","Avon, Hampshire",50.746,-1.754
"BH24","Ashley Heath, Dorset",50.844,-1.786
"BH25","Ashley, Hampshire",50.752,-1.657
"BH3","Winton, Bournemouth",50.735,-1.88
"BH31","Romford, Dorset",50.876,-1.872
"BH4","Westbourne, Bournemouth",50.721,-1.898
"BH5","Boscombe, Bournemouth",50.725,-1.834
"BH6","Southbourne, Bournemouth",50.727,-1.804
"BH7","",50.735,-1.831
"BH8","Holdenhurst, Bournemouth",50.74,-1.851
"BH9","Moordown, Bournemouth",50.749,-1.871
"BL0","Edenfield, Lancashire",53.646,-2.315
"BL1","Astley Bridge, Greater Manchester",53.59,-2.444
"BL2","Ainsworth, Greater Manchester",53.588,-2.395
"BL3","Daubhill, Greater Manchester",53.565,-2.431
"BL4","Farnworth, Greater Manchester",53.547,-2.4
"BL5","Westhoughton, Greater Manchester",53.549,-2.515
"BL6","Adlington, Lancashire",53.592,-2.539
"BL7","Belmont, Lancashire",53.63,-2.421
"BL8","Greenmount, Greater Manchester",53.605,-2.327
"BL9","Bury, Greater Manchester",53.592,-2.286
"BN1","Coldean, Brighton and Hove",50.839,-0.138
"BN10","Peacehaven, East Sussex",50.795,0.003
"BN11","West Worthing, West Sussex",50.813,-0.376
"BN12","Ferring, West Sussex",50.813,-0.425
"BN13","Clapham, West Sussex",50.83,-0.405
"BN14","Broadwater, West Sussex",50.832,-0.38
"BN15","Coombes, West Sussex",50.83,-0.324
"BN16","Angmering, West Sussex",50.814,-0.494
"BN17","Climping, West Sussex",50.814,-0.535
"BN18","Amberley, West Sussex",50.848,-0.579
"BN2","Bevendean, Brighton and Hove",50.824,-0.103
"BN20","Birling Gap, East Sussex",50.774,0.255
"BN21","Eastbourne, East Sussex",50.773,0.277
"BN22","Hampden Park, East Sussex",50.788,0.284
"BN23","Friday Street, East Sussex",50.798,0.314
"BN24","Hankham, East Sussex",50.816,0.331
"BN25","Bishopstone, East Sussex",50.776,0.11
"BN26","Alciston, East Sussex",50.821,0.223
"BN27","Bodle Street Green, East Sussex",50.871,0.265
"BN3","Hangleton, Brighton and Hove",50.835,-0.174
"BN41","Portslade, Brighton and Hove",50.84,-0.215
"BN42","Southwick, West Sussex",50.837,-0.231
"BN43","Kingston by Sea, West Sussex",50.836,-0.266
"BN44","Ashurst, West Sussex",50.89,-0.322
"BN45","Poynings, West Sussex",50.889,-0.185
"BN5","Blackstone, West Sussex",50.927,-0.268
"BN6","Albourne, West Sussex",50.929,-0.152
"BN7","Cooksbridge, East Sussex",50.877,0.001
"BN8","Barcombe Cross, East Sussex",50.913,0.052
"BN9","Denton, East Sussex",50.795,0.051
"BR1","Bickley, Greater London",51.411,0.022
"BR2","Bromley Common, Greater London",51.389,0.023
"BR3","Beckenham, Greater London",51.403,-0.031
"BR4","West Wickham, Greater London",51.375,-0.007
"BR5","St Mary Cray, Greater London",51.39,0.104
"BR6","Chelsfield, Greater London",51.366,0.094
"BR7","Chislehurst Caves, Greater London",51.41,0.072
"BR8","Crockenhill, Kent",51.398,0.176
"BS1","Bristol, Bristol",51.453,-2.593
"BS10","Catbrain, South Gloucestershire",51.506,-2.61
"BS11","Avonmouth, Bristol",51.497,-2.675
"BS13","Bishopsworth, Bristol",51.412,-2.611
"BS14","Whitchurch, Bristol Avon",51.413,-2.561
"BS15","Kingswood, South Gloucestershire",51.459,-2.506
"BS16","Downend, South Gloucestershire",51.485,-2.51
"BS2","",51.46,-2.581
"BS20","Clapton-in-Gordano, North Somerset",51.479,-2.752
"BS21","Clevedon, North Somerset",51.435,-2.849
"BS22","Bourton, North Somerset",51.36,-2.929
"BS23","Uphill, North Somerset",51.343,-2.97
"BS24","Banwell, North Somerset",51.327,-2.932
"BS25","Rowberrow, Somerset",51.32,-2.826
"BS26","Axbridge, Somerset",51.279,-2.855
"BS27","Cheddar, Somerset",51.271,-2.77
"BS28","Blackford, Somerset",51.225,-2.814
"BS29","",51.331,-2.878
"BS3","",51.438,-2.602
"BS30","Abson, South Gloucestershire",51.445,-2.472
"BS31","",51.408,-2.491
"BS32","",51.542,-2.559
"BS34","",51.523,-2.564
"BS35","",51.596,-2.549
"BS36","Coalpit Heath, South Gloucestershire",51.526,-2.486
"BS37","Chipping Sodbury, South Gloucestershire",51.539,-2.416
"BS39","",51.328,-2.532
"BS4","Brislington, Bristol",51.435,-2.561
"BS40","Brislington, Bristol",51.346,-2.691
"BS41","Brislington, Bristol",51.422,-2.651
"BS48","Brislington, Bristol",51.425,-2.747
"BS49","Brislington, Bristol",51.38,-2.817
"BS5","",51.462,-2.551
"BS6","Bristol, Bristol",51.47,-2.599
"BS7","Horfield, Bristol",51.486,-2.58
"BS8","Abbots Leigh, North Somerset",51.457,-2.621
"BS9","Westbury on Trym, Bristol",51.487,-2.625
"BS99","Bristol (PO Boxes), Bristol",51.458,-2.573
"BT1","Belfast, Belfast",53.262,-2.991
"BT10","Belfast, Belfast",53.22,-3.042
"BT11","Belfast, Belfast",53.236,-3.056
"BT12","Belfast, Belfast",53.254,-3.018
"BT13","Belfast, Belfast",53.267,-3.021
"BT14","Belfast, Belfast",53.282,-3.024
"BT15","Belfast, Belfast",53.285,-2.996
"BT16","Belfast, Belfast",53.257,-2.864
"BT17","Belfast, Belfast",53.214,-3.074
"BT18","Hollywood, County Down",53.306,-2.89
"BT19","Belfast, Belfast",53.32,-2.741
"BT2","",53.255,-2.993
"BT20","",53.327,-2.74
"BT21","",53.311,-2.623
"BT22","",53.176,-2.588
"BT23","",53.231,-2.782
"BT24","",53.08,-2.923
"BT25","",53.053,-3.153
"BT26","",53.111,-3.109
"BT27","",53.17,-3.074
"BT28","",53.181,-3.14
"BT29","",53.276,-3.25
"BT3","",53.283,-2.969
"BT30","",53.002,-2.755
"BT31","",52.939,-3.008
"BT32","",52.99,-3.278
"BT33","",52.884,-2.93
"BT34","",52.811,-3.203
"BT35","",52.814,-3.46
"BT36","",53.339,-3.022
"BT37","",53.339,-2.977
"BT38","",53.395,-2.876
"BT39","",53.405,-3.088
"BT4","",53.266,-2.933
"BT40","",53.511,-2.906
"BT41","",53.386,-3.321
"BT42","",53.507,-3.353
"BT43","",53.544,-3.339
"BT44","",53.627,-3.362
"BT45","",53.404,-3.691
"BT46","",53.509,-3.722
"BT47","Derry, County Londonderry",53.604,-4.26
"BT48","",53.636,-4.374
"BT49","",53.684,-4.014
"BT5","",53.252,-2.935
"BT51","",53.701,-3.753
"BT52","",53.778,-3.732
"BT53","",53.734,-3.554
"BT54","",53.854,-3.354
"BT55","",53.822,-3.789
"BT56","",53.842,-3.733
"BT57","",53.849,-3.605
"BT6","",53.243,-2.96
"BT60","Armagh, County Armagh",52.937,-3.668
"BT61","",53.013,-3.647
"BT62","",53.061,-3.496
"BT63","",53.055,-3.424
"BT64","",53.1,-3.429
"BT65","",53.096,-3.403
"BT66","",53.108,-3.373
"BT67","",53.14,-3.313
"BT68","Caledon, County Tyrone",53.005,-3.864
"BT69","",53.061,-3.967
"BT7","",53.245,-2.986
"BT70","",53.153,-3.913
"BT71","",53.156,-3.737
"BT74","Enniskillen, County Fermanagh",52.963,-4.654
"BT75","",53.003,-4.318
"BT76","",53.05,-4.201
"BT77","",53.06,-4.13
"BT78","",53.197,-4.389
"BT79","",53.254,-4.224
"BT8","",53.203,-2.964
"BT80","",53.286,-3.788
"BT81","",53.315,-4.629
"BT82","",53.451,-4.458
"BT9","",53.233,-3.01
"BT92","",52.847,-4.449
"BT93","",53.081,-4.818
"BT94","",52.998,-4.537
"CA1","Carleton, Cumbria",54.886,-2.911
"CA10","Askham, Cumbria",54.611,-2.659
"CA11","Blencow, Cumbria",54.664,-2.786
"CA12","Applethwaite, Cumbria",54.602,-3.133
"CA13","Bewaldeth, Cumbria",54.66,-3.366
"CA14","Asby, Cumbria",54.634,-3.537
"CA15","Allonby, Cumbria",54.712,-3.481
"CA16","Appleby-in-Westmorland, Cumbria",54.574,-2.483
"CA17","Brough Sowerby, Cumbria",54.479,-2.35
"CA18","Broad Oak, Cumbria",54.354,-3.39
"CA19","Beckfoot, Cumbria",54.387,-3.382
"CA2","Cummersdale, Cumbria",54.884,-2.949
"CA20","Calder Bridge, Cumbria",54.41,-3.461
"CA21","Beckermet, Cumbria",54.445,-3.515
"CA22","Egremont, Cumbria",54.48,-3.531
"CA23","Cleator, Cumbria",54.514,-3.493
"CA24","Moor Row, Cumbria",54.515,-3.542
"CA25","Cleator Moor, Cumbria",54.523,-3.517
"CA26","Arlecdon, Cumbria",54.544,-3.481
"CA27","St Bees, Cumbria",54.491,-3.592
"CA28","Hensingham, Cumbria",54.544,-3.577
"CA3","Houghton, Cumbria",54.907,-2.939
"CA4","Aiketgate, Cumbria",54.847,-2.833
"CA5","Abbeytown, Cumbria",54.855,-3.015
"CA6","Bewcastle, Cumbria",54.994,-2.892
"CA7","Aikton, Cumbria",54.807,-3.237
"CA8","Banks, Cumbria",54.939,-2.685
"CA9","Alston, Cumbria",54.802,-2.419
"CB1","Balsham, Cambridgeshire",52.176,0.19
"CB10","Ashdon, Essex",52.03,0.266
"CB11","Arkesden, Essex",52,0.214
"CB2","Babraham, Cambridgeshire",52.163,0.133
"CB3","Bar Hill, Cambridgeshire",52.213,0.025
"CB4","Boxworth End, Cambridgeshire",52.243,0.115
"CB5","Bottisham, Cambridgeshire",52.239,0.211
"CB6","Aldreth, Cambridgeshire",52.404,0.224
"CB7","Barway, Cambridgeshire",52.366,0.322
"CB8","Ashley, Cambridgeshire",52.231,0.427
"CB9","Barnardiston, Suffolk",52.082,0.441
"CF10","Canton, Cardiff",51.474,-3.176
"CF11","Canton, Cardiff",51.473,-3.192
"CF14","Canton, Cardiff",51.519,-3.203
"CF15","Canton, Cardiff",51.534,-3.273
"CF23","Llanedeyrn, Cardiff",51.515,-3.151
"CF24","Llanedeyrn, Cardiff",51.485,-3.164
"CF3","Began, Caerphilly",51.519,-3.111
"CF31","Bridgend, Bridgend",51.509,-3.576
"CF32","Abergarw, Bridgend",51.56,-3.583
"CF33","Kenfig Hill, Bridgend",51.524,-3.69
"CF34","Caerau, Bridgend",51.61,-3.651
"CF35","Blackmill, Bridgend",51.522,-3.519
"CF36","Newton, Bridgend",51.485,-3.698
"CF37","Clifynydd, Rhondda Cynon Taff",51.603,-3.333
"CF38","Beddau, Rhondda Cynon Taff",51.56,-3.332
"CF39","Coedely, Rhondda Cynon Taff",51.601,-3.423
"CF40","Clydach Vale, Rhondda Cynon Taff",51.62,-3.45
"CF41","Pentre, Rhondda Cynon Taff",51.647,-3.481
"CF42","Blaencwm, Rhondda Cynon Taff",51.667,-3.522
"CF43","Ferndale, Rhondda Cynon Taff",51.658,-3.449
"CF44","Aber-llia, Powys",51.718,-3.458
"CF45","Abercynon, Rhondda Cynon Taff",51.669,-3.361
"CF46","Bedlinog, Merthyr Tydfil",51.665,-3.3
"CF47","Merthyr Tydfil, Merthyr Tydfil",51.751,-3.374
"CF48","Abercanaid, Merthyr Tydfil",51.741,-3.369
"CF5","Bonvilston, Vale of Glamorgan",51.482,-3.242
"CF61","Boverton, Vale of Glamorgan",51.408,-3.48
"CF62","Barry, Vale of Glamorgan",51.404,-3.308
"CF63","Cadoxton, Vale of Glamorgan",51.412,-3.256
"CF64","Cogan, Vale of Glamorgan",51.433,-3.189
"CF71","Aberthin, Vale of Glamorgan",51.461,-3.454
"CF72","Bryncae, Rhondda Cynon Taff",51.53,-3.398
"CF81","Aber Bargoed, Caerphilly",51.7,-3.243
"CF82","Cefn Hengoed, Caerphilly",51.652,-3.236
"CF83","Abertridwr, Caerphilly",51.586,-3.217
"CH1","Blacon, Cheshire",53.202,-2.908
"CH2","Backford, Cheshire",53.216,-2.868
"CH3","Aldersey Green, Cheshire",53.167,-2.822
"CH4","Bretton, Flintshire",53.168,-2.939
"CH41","Birkenhead, Merseyside",53.394,-3.03
"CH42","Birkenhead, Merseyside",53.374,-3.021
"CH43","Bidston, Merseyside",53.383,-3.058
"CH44","Wallasey, Merseyside",53.415,-3.036
"CH45","New Brighton, Merseyside",53.428,-3.05
"CH46","Moreton, Merseyside",53.404,-3.11
"CH47","Hoylake, Merseyside",53.396,-3.168
"CH48","Caldy, Merseyside",53.372,-3.169
"CH49","Upton, Merseyside",53.381,-3.103
"CH5","Aston, Flintshire",53.204,-3.041
"CH6","Bagillt, Flintshire",53.25,-3.145
"CH60","Gayton, Merseyside",53.326,-3.095
"CH61","Barnston, Merseyside",53.348,-3.101
"CH62","Bagillt, Flintshire",53.334,-2.981
"CH63","Wirral, Merseyside",53.345,-3.011
"CH64","Bagillt, Flintshire",53.288,-3.047
"CH65","Bagillt, Flintshire",53.277,-2.902
"CH66","Bagillt, Flintshire",53.277,-2.934
"CH7","Afon-wen, Flintshire",53.169,-3.133
"CH8","Babell, Flintshire",53.281,-3.241
"CM0","Asheldham, Essex",51.663,0.837
"CM1","Broomfield, Essex",51.745,0.457
"CM11","Billericay, Essex",51.623,0.446
"CM12","Little Burstead, Essex",51.628,0.416
"CM13","Childerditch, Essex",51.615,0.338
"CM14","Brentwood, Essex",51.618,0.293
"CM15","Doddinghurst, Essex",51.643,0.306
"CM16","Coopersale Common, Essex",51.7,0.122
"CM17","Church Langley, Essex",51.771,0.146
"CM18","Broomfield, Essex",51.756,0.107
"CM19","Great Parndon, Essex",51.76,0.075
"CM2","Galleyend, Essex",51.722,0.487
"CM20","Eastwick, Hertfordshire",51.775,0.105
"CM21","",51.812,0.147
"CM22","",51.862,0.222
"CM23","Berden, Essex",51.871,0.16
"CM24","Stansted Mountfitchet, Essex",51.899,0.207
"CM3","Althorne, Essex",51.72,0.585
"CM4","Blackmore, Essex",51.674,0.392
"CM5","Abbess Roding, Essex",51.721,0.249
"CM6","Aythorpe Roding, Essex",51.877,0.367
"CM7","Bardfield Saling, Essex",51.897,0.539
"CM8","Chipping Hill, Essex",51.805,0.639
"CM9","Broad Street Green, Essex",51.741,0.702
"CO1","Colchester, Essex",51.889,0.91
"CO10","Acton, Suffolk",52.057,0.724
"CO11","Bradfield Heath, Essex",51.942,1.079
"CO12","Dovercourt, Essex",51.931,1.255
"CO13","Frinton-on-Sea, Essex",51.838,1.239
"CO14","Walton-on-Naze, Essex",51.85,1.269
"CO15","Clacton-on-Sea, Essex",51.796,1.157
"CO16","Beaumont, Essex",51.821,1.126
"CO2","Birch Green, Essex",51.869,0.895
"CO3","Beacon End, Essex",51.884,0.863
"CO4","",51.907,0.924
"CO5","Abberton, Essex",51.814,0.822
"CO6","Aldham, Essex",51.924,0.79
"CO7","Aingers Green, Essex",51.884,1.005
"CO8","Alphamstone, Essex",51.973,0.767
"CO9","Barr Hall, Essex",51.969,0.611
"CR0","Addington, Greater London",51.372,-0.074
"CR2","Sanderstead, Greater London",51.35,-0.08
"CR3","Caterham, Surrey",51.287,-0.08
"CR4","Beddington Corner, Greater London",51.404,-0.159
"CR5","Chipstead, Surrey",51.312,-0.139
"CR6","Chelsham, Surrey",51.308,-0.052
"CR7","",51.395,-0.103
"CR8","Kenley, Greater London",51.336,-0.11
"CT1","Canterbury, Kent",51.277,1.087
"CT10","Broadstairs, Kent",51.362,1.431
"CT11","Ramsgate, Kent",51.336,1.415
"CT12","Cliffs End, Kent",51.343,1.373
"CT13","Eastry, Kent",51.267,1.33
"CT14","Betteshanger, Kent",51.216,1.387
"CT15","Alkham, Kent",51.171,1.284
"CT16","Buckland, Kent",51.14,1.302
"CT17","Maxton, Kent",51.128,1.296
"CT18","Acrise Place, Kent",51.114,1.15
"CT19","Cheriton, Kent",51.088,1.17
"CT2","Blean, Kent",51.293,1.082
"CT20","Sandgate, Kent",51.079,1.166
"CT21","Court-at-Street, Kent",51.073,1.078
"CT3","Adisham, Kent",51.278,1.212
"CT4","Barham, Kent",51.225,1.068
"CT5","Chestfield, Kent",51.353,1.037
"CT6","Beltinge, Kent",51.364,1.131
"CT7","Acol, Kent",51.371,1.301
"CT8","Westgate on Sea, Kent",51.38,1.341
"CT9","Cliftonville, Kent",51.383,1.391
"CV1","Coventry, West Midlands",52.41,-1.507
"CV10","Ansley, Warwickshire",52.525,-1.5
"CV11","Attleborough, Warwickshire",52.519,-1.453
"CV12","Bedworth, Warwickshire",52.474,-1.473
"CV13","Barlestone, Leicestershire",52.612,-1.414
"CV2","",52.423,-1.464
"CV21","Newbold on Avon, Warwickshire",52.368,-1.274
"CV22","Bilton, Warwickshire",52.355,-1.287
"CV23","Ashby St Ledgers, Northamptonshire",52.361,-1.308
"CV3","Binley, West Midlands",52.393,-1.482
"CV31","Radford Semele, Warwickshire",52.278,-1.524
"CV32","Cubbington, Warwickshire",52.296,-1.53
"CV33","Avon Dassett, Warwickshire",52.257,-1.484
"CV34","Longbridge, Warwickshire",52.283,-1.579
"CV35","Ashorne, Warwickshire",52.229,-1.595
"CV36","Admington, Warwickshire",52.067,-1.625
"CV37","Alderminster, Warwickshire",52.185,-1.713
"CV4","Kirby Corner, West Midlands",52.398,-1.565
"CV47","Kirby Corner, West Midlands",52.234,-1.385
"CV5","Allesley, West Midlands",52.412,-1.551
"CV6","Court House Green, West Midlands",52.432,-1.507
"CV7","Ansty, Warwickshire",52.444,-1.563
"CV8","Ashow, Warwickshire",52.351,-1.543
"CV9","Atherstone, Warwickshire",52.585,-1.558
"CW1","Bradfield Green, Cheshire",53.103,-2.434
"CW10","Bostock Green, Cheshire",53.189,-2.445
"CW11","Arclid, Cheshire",53.142,-2.365
"CW12","Astbury, Cheshire",53.165,-2.212
"CW2","Balterley, Staffordshire",53.081,-2.446
"CW3","Audlem, Cheshire",53,-2.406
"CW4","Blackden Heath, Cheshire",53.207,-2.347
"CW5","Acton, Cheshire",53.062,-2.521
"CW6","Alpraham, Cheshire",53.162,-2.666
"CW7","Foxwist Green, Cheshire",53.19,-2.526
"CW8","Acton Bridge, Cheshire",53.254,-2.563
"CW9","Antrobus, Cheshire",53.259,-2.501
"DA1","Crayford, Greater London",51.447,0.21
"DA10","Northfleet, Kent",51.444,0.308
"DA11","Perry Street, Kent",51.434,0.354
"DA12","Chalk, Kent",51.427,0.389
"DA13","Betsham, Kent",51.382,0.355
"DA14","Foots Cray, Greater London",51.425,0.113
"DA15","Bexley, Greater London",51.44,0.1
"DA16","East Wickham, Greater London",51.464,0.109
"DA17","Belvedere, Greater London",51.487,0.149
"DA18","Crayford, Greater London",51.492,0.144
"DA2","Bean, Kent",51.432,0.234
